timestamp_s,trunk_angle_deg,trunk_score,cervical_cm,cervical_score,lean_score,pss_raw,pss_smooth
15.482,9.38,0.0000,0.23,0.0138,0.0544,0.3394,0.3394
15.604,9.03,0.0000,0.37,0.0223,0.0857,0.3450,0.3417
15.721,9.17,0.0000,0.28,0.0171,0.0610,0.3410,0.3421
15.856,9.51,0.0000,0.44,0.0266,0.0387,0.3416,0.3413
15.957,9.35,0.0000,0.37,0.0220,0.0420,0.3406,0.3412
16.058,9.34,0.0000,0.49,0.0294,0.0526,0.3439,0.3415
16.158,9.33,0.0000,0.58,0.0348,0.0665,0.3469,0.3421
16.258,9.28,0.0000,0.65,0.0390,0.0641,0.3479,0.3428
16.363,9.28,0.0000,0.43,0.0256,0.0686,0.3443,0.3433
16.496,9.42,0.0000,0.50,0.0298,0.0665,0.3454,0.3438
16.599,9.45,0.0000,0.78,0.0466,0.0641,0.3502,0.3443
16.734,9.47,0.0000,0.34,0.0206,0.0569,0.3417,0.3445
16.838,9.23,0.0000,0.33,0.0196,0.0643,0.3421,0.3447
16.939,9.28,0.0000,0.09,0.0057,0.0595,0.3375,0.3448
17.039,9.34,0.0000,0.17,0.0102,0.0511,0.3380,0.3444
17.159,9.33,0.0000,0.10,0.0061,0.0622,0.3378,0.3434
17.275,9.19,0.0000,0.09,0.0056,0.0657,0.3381,0.3426
17.376,9.33,0.0000,-0.05,0.0022,0.0638,0.3369,0.3416
17.477,9.27,0.0000,-0.31,0.0132,0.0654,0.3403,0.3410
17.611,9.58,0.0000,-0.25,0.0106,0.0353,0.3365,0.3398
17.711,9.52,0.0000,-0.08,0.0036,0.0553,0.3364,0.3388
17.813,9.32,0.0000,-0.18,0.0076,0.0600,0.3381,0.3385
17.916,9.41,0.0000,-0.01,0.0006,0.0451,0.3345,0.3376
18.017,9.47,0.0000,-0.06,0.0028,0.0609,0.3367,0.3376
18.136,9.25,0.0000,0.00,0.0002,0.0750,0.3373,0.3374
18.252,10.00,0.0000,-0.09,0.0040,0.0108,0.3321,0.3371
18.371,10.16,0.0364,0.04,0.0023,0.0000,0.3322,0.3361
18.488,9.03,0.0436,0.61,0.0364,0.0000,0.3428,0.3362
18.607,8.37,0.1113,1.40,0.0839,0.0000,0.3605,0.3379
18.723,8.16,0.1479,1.48,0.0886,0.0000,0.3636,0.3406
18.844,8.02,0.1933,1.08,0.0647,0.0000,0.3586,0.3438
18.960,8.22,0.1923,0.52,0.0313,0.0000,0.3485,0.3454
19.093,8.70,0.2080,0.59,0.0352,0.0000,0.3505,0.3472
19.196,9.14,0.2113,0.42,0.0253,0.0000,0.3476,0.3484
19.332,9.20,0.1990,0.80,0.0481,0.0000,0.3536,0.3507
19.466,9.23,0.1097,1.53,0.0919,0.0000,0.3622,0.3534
19.567,9.65,0.1239,2.33,0.1396,0.0000,0.3772,0.3565
19.684,10.76,0.0606,2.53,0.1519,0.0000,0.3778,0.3590
19.799,11.70,0.0164,3.24,0.1945,0.0000,0.3880,0.3613
19.919,12.07,0.0000,4.01,0.2408,0.0000,0.4007,0.3669
20.037,13.04,0.0033,2.58,0.1547,0.0000,0.3735,0.3706
20.170,13.37,0.0567,3.09,0.1854,0.0000,0.3841,0.3732
20.304,14.46,0.1964,1.75,0.1052,0.0000,0.3649,0.3769
20.405,16.06,0.1459,1.28,0.0766,0.0000,0.3502,0.3769
20.506,15.32,0.0000,1.72,0.1033,0.0000,0.3519,0.3753
20.608,13.90,0.0000,2.25,0.1347,0.0000,0.3626,0.3735
20.708,14.00,0.0000,2.26,0.1356,0.0000,0.3618,0.3721
20.826,14.53,0.0000,2.26,0.1358,0.0000,0.3634,0.3693
20.940,11.32,0.0000,1.37,0.0820,0.0000,0.3478,0.3644
21.075,7.20,0.0000,0.50,0.0302,0.0000,0.3330,0.3585
21.185,6.78,0.0000,0.27,0.0164,0.0000,0.3289,0.3523
21.292,9.63,0.0205,0.47,0.0280,0.0000,0.3244,0.3481
21.428,12.44,0.0000,1.21,0.0727,0.0000,0.3224,0.3443
21.560,12.95,0.0000,1.08,0.0649,0.0000,0.3001,0.3390
21.694,11.40,0.0000,1.26,0.0758,0.0000,0.3054,0.3310
21.796,10.54,0.0000,1.06,0.0635,0.0000,0.3071,0.3250
21.897,11.56,0.0000,0.42,0.0250,0.0000,0.2912,0.3190
22.000,14.13,0.0000,0.78,0.0466,0.0000,0.2850,0.3139
22.100,12.63,0.0000,1.02,0.0611,0.0000,0.2813,0.3088
22.203,8.88,0.0000,1.30,0.0779,0.0000,0.2917,0.3041
22.305,8.42,0.0000,1.35,0.0812,0.0000,0.3025,0.3011
22.407,9.91,0.0000,1.20,0.0723,0.0000,0.3037,0.2989
22.538,11.55,0.0000,-0.14,0.0061,0.0000,0.2898,0.2957
22.671,11.58,0.0000,0.80,0.0480,0.0000,0.2980,0.2949
22.775,10.68,0.0000,0.62,0.0373,0.0000,0.2976,0.2940
22.892,9.84,0.0000,1.73,0.1035,0.0000,0.3220,0.2962
23.009,9.89,0.0000,1.71,0.1026,0.0000,0.3288,0.2996
23.110,10.07,0.0000,1.47,0.0882,0.0000,0.3308,0.3045
23.211,9.05,0.0000,1.08,0.0649,0.0000,0.3298,0.3095
23.328,14.49,0.0000,1.92,0.1154,0.0000,0.3495,0.3152
23.444,16.63,0.0000,1.83,0.1101,0.0000,0.3383,0.3191
23.563,20.12,0.0000,1.42,0.0852,0.0000,0.3336,0.3247
23.698,20.67,0.0000,1.36,0.0815,0.0000,0.3391,0.3305
23.799,22.37,0.0000,0.54,0.0325,0.0000,0.3260,0.3337
23.900,25.83,0.0000,1.00,0.0598,0.0000,0.3317,0.3350
24.018,30.47,0.0000,0.93,0.0556,0.0000,0.3338,0.3354
24.136,36.65,0.0000,0.55,0.0328,0.0000,0.3293,0.3354
24.269,37.70,0.0000,1.84,0.1106,0.0000,0.3559,0.3356
24.370,38.79,0.0000,1.86,0.1115,0.0000,0.3578,0.3362
24.487,42.12,0.0000,2.53,0.1521,0.0000,0.3707,0.3412
24.592,39.11,0.0000,3.33,0.1999,0.0000,0.3863,0.3457
24.704,37.66,0.0000,4.16,0.2495,0.0000,0.4021,0.3512
24.842,38.23,0.0000,3.48,0.2091,0.0000,0.3908,0.3593
24.975,39.25,0.0000,3.82,0.2294,0.0000,0.3966,0.3669
25.075,36.69,0.0000,2.92,0.1751,0.0000,0.3806,0.3721
25.176,37.02,0.0000,3.12,0.1874,0.0000,0.3847,0.3770
25.276,38.57,0.0000,2.80,0.1679,0.0000,0.3790,0.3812
25.378,38.56,0.0000,2.45,0.1469,0.0000,0.3731,0.3834
25.479,40.71,0.0000,2.02,0.1212,0.0000,0.3651,0.3825
25.610,38.41,0.0000,2.69,0.1613,0.0000,0.3761,0.3821
25.712,38.39,0.0000,2.69,0.1615,0.0000,0.3764,0.3804
25.861,37.85,0.0000,2.04,0.1226,0.0000,0.3648,0.3781
25.973,40.69,0.0000,1.73,0.1037,0.0000,0.3586,0.3755
26.087,39.48,0.0000,3.05,0.1827,0.0000,0.3828,0.3740
26.188,39.91,0.0000,1.28,0.0769,0.0000,0.3507,0.3709
26.292,38.87,0.0000,1.96,0.1178,0.0000,0.3629,0.3687
26.411,38.84,0.0000,2.97,0.1783,0.0000,0.3816,0.3687
26.528,36.46,0.0000,3.06,0.1836,0.0000,0.3836,0.3700
26.629,37.92,0.0000,2.80,0.1681,0.0000,0.3789,0.3704
26.729,40.01,0.0000,2.60,0.1562,0.0000,0.3751,0.3703
26.830,41.54,0.0000,2.10,0.1261,0.0000,0.3655,0.3695
26.930,42.81,0.0000,2.94,0.1765,0.0000,0.3796,0.3696
27.034,42.76,0.0000,2.36,0.1415,0.0000,0.3703,0.3712
27.166,42.32,0.0000,1.48,0.0888,0.0000,0.3440,0.3690
27.267,41.90,0.0000,1.39,0.0835,0.0000,0.3421,0.3680
27.369,40.42,0.0000,0.62,0.0372,0.0000,0.3212,0.3645
27.471,38.31,0.0000,-0.41,0.0174,0.0000,0.3155,0.3579
27.572,32.94,0.0000,-1.32,0.0564,0.0000,0.3173,0.3518
27.672,27.91,0.0000,-3.29,0.1411,0.0000,0.2829,0.3437
27.774,22.42,0.0000,-10.57,0.4531,0.0000,0.1540,0.3277
27.891,16.36,0.0000,-13.11,0.5617,0.0000,0.2062,0.3028
28.010,15.87,0.0000,-14.15,0.6065,0.0000,0.2398,0.2885
28.144,14.18,0.0000,-14.22,0.6094,0.0000,0.2409,0.2737
28.277,13.43,0.0000,-12.82,0.5495,0.0000,0.1935,0.2541
28.402,13.10,0.0000,-12.41,0.5318,0.0000,0.1795,0.2344
28.513,13.62,0.0000,-10.47,0.4485,0.0000,0.1630,0.2189
28.641,13.02,0.0000,-10.79,0.4623,0.0000,0.1581,0.1995
28.784,12.22,0.0000,-10.87,0.4658,0.0000,0.1577,0.1894
28.884,12.65,0.0000,-10.27,0.4400,0.0000,0.1694,0.1893
29.017,13.26,0.0000,-9.31,0.3991,0.0000,0.1868,0.1834
29.150,12.72,0.0000,-8.00,0.3430,0.0000,0.2094,0.1779
29.284,12.36,0.0000,-8.85,0.3792,0.0000,0.1933,0.1777
29.385,9.91,0.0000,-9.20,0.3943,0.0000,0.1873,0.1788
29.486,10.69,0.0000,-9.34,0.4004,0.0000,0.1854,0.1814
29.603,11.84,0.0000,-8.63,0.3699,0.0000,0.1992,0.1852
29.704,12.04,0.0000,-10.69,0.4582,0.0000,0.1622,0.1864
29.820,12.09,0.0000,-10.94,0.4688,0.0000,0.1580,0.1865
29.922,12.10,0.0000,-10.11,0.4333,0.0000,0.1732,0.1860
30.023,12.39,0.0000,-10.86,0.4653,0.0000,0.1599,0.1842
30.124,11.81,0.0000,-10.50,0.4502,0.0000,0.1664,0.1807
30.244,11.36,0.0000,-9.15,0.3923,0.0000,0.1909,0.1781
30.344,11.79,0.0000,-6.58,0.2821,0.0000,0.2371,0.1819
30.461,11.69,0.0000,-7.99,0.3423,0.0000,0.2116,0.1834
30.593,11.26,0.0000,-7.11,0.3047,0.0000,0.2265,0.1878
30.695,10.99,0.0000,-8.10,0.3471,0.0000,0.2077,0.1908
30.798,10.64,0.0000,-7.51,0.3217,0.0000,0.2169,0.1965
30.900,10.47,0.0000,-7.04,0.3017,0.0000,0.2246,0.2021
31.002,11.59,0.0000,-8.58,0.3678,0.0000,0.1962,0.2063
31.136,10.23,0.0000,-7.61,0.3263,0.0000,0.2114,0.2110
31.268,11.00,0.0000,-8.38,0.3590,0.0000,0.1960,0.2144
31.402,10.66,0.0000,-8.46,0.3625,0.0000,0.1941,0.2110
31.503,10.75,0.0000,-8.01,0.3433,0.0000,0.2023,0.2102
31.603,10.81,0.0000,-8.02,0.3436,0.0000,0.2019,0.2071
31.706,10.33,0.0000,-6.87,0.2945,0.0000,0.2228,0.2077
31.839,10.81,0.0000,-7.41,0.3178,0.0000,0.2136,0.2076
31.942,10.42,0.0000,-7.22,0.3094,0.0000,0.2183,0.2060
32.061,9.96,0.0000,-6.90,0.2958,0.0000,0.2245,0.2089
32.194,11.22,0.0000,-8.47,0.3628,0.0000,0.1984,0.2076
32.326,12.24,0.0000,-9.91,0.4248,0.0000,0.1739,0.2052
32.427,12.29,0.0000,-10.64,0.4561,0.0000,0.1616,0.2021
32.563,11.87,0.0000,-10.14,0.4345,0.0000,0.1717,0.1980
32.697,11.99,0.0000,-10.64,0.4559,0.0000,0.1633,0.1912
32.830,11.50,0.0000,-10.26,0.4398,0.0000,0.1704,0.1852
32.934,11.47,0.0000,-10.47,0.4487,0.0000,0.1669,0.1816
33.035,11.69,0.0000,-10.04,0.4303,0.0000,0.1749,0.1770
33.136,11.09,0.0000,-9.09,0.3897,0.0000,0.1919,0.1746
33.238,10.75,0.0000,-9.12,0.3907,0.0000,0.1907,0.1754
33.339,10.13,0.0000,-8.83,0.3784,0.0000,0.1960,0.1764
33.471,10.35,0.0000,-9.56,0.4097,0.0000,0.1824,0.1784
33.571,10.19,0.0000,-7.66,0.3284,0.0000,0.2154,0.1824
33.672,9.66,0.0000,-7.70,0.3301,0.0000,0.2142,0.1878
33.775,9.66,0.0000,-8.05,0.3450,0.0000,0.2079,0.1915
33.875,10.07,0.0000,-7.96,0.3411,0.0000,0.2078,0.1960
33.989,11.08,0.0000,-9.14,0.3919,0.0000,0.1870,0.1972
34.124,10.17,0.0000,-9.66,0.4138,0.0000,0.1791,0.1982
34.246,10.17,0.0000,-10.76,0.4610,0.0000,0.1602,0.1946
34.363,10.50,0.0000,-10.32,0.4424,0.0000,0.1684,0.1916
34.463,10.16,0.0000,-9.42,0.4037,0.0000,0.1852,0.1910
34.599,9.82,0.0000,-8.99,0.3853,0.0000,0.1928,0.1910
34.733,9.85,0.0000,-9.40,0.4030,0.0000,0.1852,0.1880
34.866,9.99,0.0000,-10.20,0.4370,0.0000,0.1708,0.1844
34.991,10.23,0.0000,-9.84,0.4219,0.0000,0.1769,0.1816
35.097,11.37,0.0000,-11.50,0.4929,0.0000,0.1482,0.1789
35.201,12.35,0.0000,-12.11,0.5189,0.0000,0.1683,0.1776
35.303,12.52,0.0000,-11.72,0.5022,0.0000,0.1550,0.1767
35.405,12.00,0.0000,-11.45,0.4906,0.0000,0.1491,0.1750
35.522,10.66,0.0000,-10.16,0.4355,0.0000,0.1725,0.1720
35.623,10.88,0.0000,-9.63,0.4126,0.0000,0.1822,0.1705
35.741,11.97,0.0000,-10.27,0.4403,0.0000,0.1705,0.1687
35.854,11.06,0.0000,-10.03,0.4298,0.0000,0.1751,0.1686
35.989,14.07,0.0000,-13.02,0.5582,0.0000,0.1985,0.1672
36.093,13.09,0.0000,-12.41,0.5319,0.0000,0.1778,0.1693
36.194,10.72,0.0000,-9.77,0.4186,0.0000,0.1798,0.1692
36.312,10.53,0.0000,-8.03,0.3441,0.0000,0.2113,0.1750
36.429,10.49,0.0000,-8.14,0.3489,0.0000,0.2091,0.1808
36.531,10.50,0.0000,-7.12,0.3050,0.0000,0.2272,0.1856
36.631,10.46,0.0000,-7.61,0.3261,0.0000,0.2180,0.1901
36.735,9.49,0.0000,-7.56,0.3241,0.0000,0.2184,0.1940
36.870,9.90,0.0000,-7.69,0.3296,0.0000,0.2157,0.2001
37.004,11.99,0.0000,-9.32,0.3995,0.0000,0.1859,0.2038
37.107,9.70,0.0000,-7.57,0.3242,0.0000,0.2174,0.2071
37.209,10.91,0.0000,-8.53,0.3655,0.0000,0.2003,0.2115
37.309,10.93,0.0000,-8.08,0.3462,0.0000,0.2085,0.2125
37.441,9.25,0.0000,-8.50,0.3641,0.0000,0.1978,0.2126
37.574,9.86,0.0000,-9.84,0.4217,0.0000,0.1743,0.2088
37.707,9.42,0.0000,-9.11,0.3906,0.0000,0.1870,0.2030
37.833,10.79,0.0000,-9.51,0.4078,0.0000,0.1801,0.1980
37.966,11.09,0.0000,-10.47,0.4488,0.0000,0.1642,0.1929
38.067,11.39,0.0000,-10.36,0.4440,0.0000,0.1671,0.1891
38.197,11.45,0.0000,-9.91,0.4248,0.0000,0.1758,0.1841
38.301,12.64,0.0000,-10.03,0.4298,0.0000,0.1742,0.1809
38.420,11.97,0.0000,-9.25,0.3965,0.0000,0.1884,0.1767
38.536,13.46,0.0000,-9.56,0.4098,0.0000,0.1828,0.1751
38.638,11.82,0.0000,-9.75,0.4178,0.0000,0.1783,0.1753
38.738,12.24,0.0000,-9.86,0.4226,0.0000,0.1749,0.1743
38.841,13.16,0.0000,-9.21,0.3947,0.0000,0.1857,0.1740
38.975,11.27,0.0000,-9.06,0.3884,0.0000,0.1862,0.1759
39.098,13.71,0.0000,-9.53,0.4085,0.0000,0.1629,0.1766
39.198,13.55,0.0000,-10.08,0.4322,0.0000,0.1418,0.1747
39.313,13.17,0.0000,-9.47,0.4060,0.0000,0.1614,0.1716
39.419,13.60,0.0000,-9.69,0.4153,0.0000,0.1566,0.1693
39.531,11.97,0.0000,-10.22,0.4381,0.0000,0.1385,0.1660
39.649,13.30,0.0000,-10.32,0.4421,0.0000,0.1469,0.1618
39.750,14.29,0.0000,-9.77,0.4186,0.0000,0.1609,0.1607
39.867,13.03,0.0000,-10.12,0.4336,0.0000,0.1579,0.1586
39.968,11.87,0.0000,-10.31,0.4418,0.0000,0.1556,0.1558
40.069,12.71,0.0000,-10.18,0.4364,0.0000,0.1591,0.1542
40.169,12.21,0.0000,-9.23,0.3954,0.0000,0.1793,0.1554
40.269,10.40,0.0000,-9.26,0.3969,0.0000,0.1534,0.1585
40.402,11.54,0.0000,-9.61,0.4120,0.0000,0.1534,0.1585
40.503,11.70,0.0000,-9.48,0.4063,0.0000,0.1610,0.1592
40.605,13.92,0.0000,-9.59,0.4110,0.0000,0.1574,0.1608
40.738,11.94,0.0000,-9.08,0.3890,0.0000,0.1723,0.1608
40.855,12.62,0.0000,-10.27,0.4399,0.0000,0.1460,0.1601
40.971,13.05,0.0000,-10.19,0.4369,0.0000,0.1361,0.1587
41.104,11.84,0.0000,-9.31,0.3988,0.0000,0.1561,0.1580
41.207,17.30,0.0000,-10.14,0.4347,0.0000,0.1383,0.1539
41.326,12.81,0.0000,-8.82,0.3780,0.0000,0.1622,0.1529
41.443,12.59,0.0000,-9.21,0.3948,0.0000,0.1617,0.1530
41.575,12.01,0.0000,-8.09,0.3465,0.0000,0.1874,0.1554
41.711,12.17,0.0000,-6.89,0.2955,0.0000,0.2083,0.1624
41.815,12.02,0.0000,-7.34,0.3147,0.0000,0.2039,0.1665
41.915,13.18,0.0000,-8.77,0.3760,0.0000,0.1819,0.1699
42.033,13.54,0.0000,-9.67,0.4143,0.0000,0.1710,0.1735
42.152,13.34,0.0000,-8.18,0.3508,0.0000,0.2010,0.1791
42.270,12.65,0.0000,-7.24,0.3103,0.0000,0.2184,0.1856
42.405,13.15,0.0000,-4.58,0.1963,0.0000,0.2680,0.1975
42.538,13.53,0.0000,-4.11,0.1761,0.0000,0.2707,0.2119
42.639,16.19,0.0000,-2.80,0.1199,0.0000,0.2876,0.2230
42.740,18.73,0.0000,-2.24,0.0960,0.0000,0.3044,0.2323
42.842,20.91,0.0000,-2.06,0.0882,0.0000,0.3111,0.2438
42.946,24.06,0.0000,-0.59,0.0253,0.0000,0.3291,0.2592
43.077,21.20,0.0000,-0.53,0.0229,0.0000,0.3277,0.2797
43.192,24.50,0.0000,-0.55,0.0236,0.0000,0.3286,0.2925
43.324,21.01,0.0000,-0.24,0.0102,0.0000,0.3228,0.3061
43.458,18.82,0.0000,-1.69,0.0724,0.0000,0.3170,0.3131
43.591,18.12,0.0000,-2.25,0.0963,0.0000,0.3013,0.3167
43.692,18.26,0.0000,-2.52,0.1080,0.0000,0.2935,0.3175
43.792,16.85,0.0000,-4.05,0.1735,0.0000,0.2641,0.3138
43.892,17.52,0.0000,-3.24,0.1387,0.0000,0.2724,0.3098
43.994,17.19,0.0000,-2.77,0.1189,0.0000,0.2773,0.3040
44.127,13.09,0.0000,-2.60,0.1113,0.0000,0.2794,0.2959
44.259,11.34,0.0000,-2.43,0.1041,0.0000,0.2913,0.2916
44.361,9.50,0.0000,-1.78,0.0762,0.0000,0.3071,0.2894
44.462,9.23,0.0000,-1.42,0.0606,0.0000,0.3120,0.2876
44.581,10.63,0.0000,-1.32,0.0564,0.0000,0.3156,0.2885
44.698,8.30,0.0000,-2.16,0.0925,0.0000,0.3031,0.2899
44.832,8.66,0.0000,-1.57,0.0672,0.0000,0.3144,0.2955
44.949,8.75,0.0000,-1.20,0.0514,0.0000,0.3202,0.3017
45.064,9.30,0.0000,-1.99,0.0851,0.0000,0.3062,0.3051
45.165,9.96,0.0000,-1.54,0.0658,0.0000,0.3139,0.3082
45.283,9.15,0.0000,-1.29,0.0553,0.0000,0.3184,0.3103
45.432,8.98,0.0000,-1.29,0.0554,0.0000,0.3187,0.3120
45.550,9.10,0.0000,-1.05,0.0450,0.0000,0.3209,0.3129
45.652,9.59,0.0000,-1.68,0.0719,0.0000,0.3052,0.3122
45.753,9.68,0.0000,-1.19,0.0512,0.0000,0.3166,0.3133
45.869,14.01,0.0000,-1.95,0.0836,0.0000,0.2943,0.3124
45.969,15.46,0.0000,-2.73,0.1171,0.0000,0.2846,0.3081
46.071,9.12,0.0000,-0.72,0.0311,0.0000,0.3189,0.3096
46.187,10.50,0.0000,-0.40,0.0173,0.0000,0.3152,0.3095
46.305,10.33,0.0000,-1.60,0.0686,0.0000,0.3138,0.3102
46.406,9.70,0.0000,-2.27,0.0974,0.0000,0.3030,0.3097
46.507,11.39,0.0000,-2.30,0.0987,0.0000,0.2932,0.3076
46.627,7.56,0.0000,-0.69,0.0296,0.0000,0.3199,0.3073
46.741,8.16,0.0000,-1.03,0.0443,0.0000,0.3200,0.3078
46.842,8.70,0.0000,-1.44,0.0619,0.0000,0.3144,0.3086
46.979,9.41,0.0000,-2.66,0.1140,0.0000,0.2911,0.3100
47.115,8.83,0.0000,-2.43,0.1041,0.0000,0.2940,0.3070
47.216,8.82,0.0000,-2.89,0.1240,0.0000,0.2882,0.3045
47.318,10.38,0.0000,-3.58,0.1534,0.0000,0.2706,0.3010
47.418,9.56,0.0000,-2.08,0.0891,0.0000,0.2998,0.2991
47.551,9.44,0.0000,-1.93,0.0828,0.0000,0.3033,0.3001
47.654,10.29,0.0000,-1.92,0.0822,0.0000,0.2981,0.2990
47.754,9.50,0.0000,-1.41,0.0604,0.0000,0.3119,0.2981
47.873,8.37,0.0000,-1.03,0.0440,0.0000,0.3198,0.2989
47.989,8.70,0.0000,-2.77,0.1188,0.0000,0.2846,0.2997
48.092,7.75,0.0000,-0.64,0.0275,0.0000,0.3172,0.3019
48.194,9.13,0.0000,-1.49,0.0638,0.0000,0.3116,0.3042
48.316,9.13,0.0000,-1.72,0.0739,0.0000,0.3090,0.3066
48.431,10.42,0.0000,-2.65,0.1136,0.0000,0.2919,0.3074
48.565,10.25,0.0000,-2.39,0.1026,0.0000,0.2949,0.3070
48.666,9.17,0.0000,-2.16,0.0924,0.0000,0.3015,0.3067
48.783,9.10,0.0000,-1.29,0.0554,0.0000,0.3197,0.3071
48.900,11.06,0.0000,-3.25,0.1394,0.0000,0.2754,0.3047
49.034,8.98,0.0000,-1.90,0.0816,0.0000,0.3008,0.3032
49.153,9.81,0.0000,-1.68,0.0719,0.0000,0.3091,0.3017
49.272,9.98,0.0000,-2.29,0.0980,0.0000,0.2992,0.3024
49.407,8.57,0.0000,-1.68,0.0721,0.0000,0.3133,0.3017
49.508,9.98,0.0000,-1.92,0.0824,0.0000,0.3092,0.3026
49.628,9.39,0.0000,-1.05,0.0450,0.0000,0.3260,0.3058
49.749,9.04,0.0000,-1.19,0.0512,0.0000,0.3229,0.3069
49.865,8.43,0.0000,-1.72,0.0739,0.0000,0.3112,0.3070
50.008,10.77,0.0000,-1.88,0.0804,0.0000,0.3075,0.3098
50.122,10.37,0.0000,-2.36,0.1010,0.0000,0.2974,0.3105
50.223,9.92,0.0000,-2.46,0.1054,0.0000,0.2962,0.3097
50.325,10.07,0.0000,-1.73,0.0744,0.0000,0.3094,0.3091
50.427,8.82,0.0000,-1.04,0.0447,0.0000,0.3230,0.3114
50.527,8.68,0.0000,-0.91,0.0389,0.0000,0.3238,0.3125
50.630,9.01,0.0000,-1.32,0.0564,0.0000,0.3169,0.3125
50.730,9.15,0.0000,-0.61,0.0262,0.0000,0.3228,0.3128
50.833,9.29,0.0000,-0.80,0.0342,0.0000,0.3265,0.3132
50.935,10.31,0.0000,-1.18,0.0506,0.0000,0.3209,0.3130
51.037,9.81,0.0000,-1.87,0.0800,0.0000,0.3088,0.3137
51.170,7.98,0.0000,-0.93,0.0398,0.0000,0.3282,0.3154
51.273,8.59,0.0000,-1.07,0.0458,0.0000,0.3251,0.3180
51.374,8.81,0.0000,-1.85,0.0795,0.0000,0.3083,0.3189
51.507,8.30,0.0000,-1.51,0.0648,0.0000,0.3164,0.3184
51.627,9.58,0.0000,-2.31,0.0990,0.0000,0.3021,0.3164
51.728,9.78,0.0000,-1.82,0.0780,0.0000,0.3117,0.3146
51.830,9.07,0.0000,-1.03,0.0442,0.0000,0.3254,0.3137
51.948,8.81,0.0000,-1.25,0.0535,0.0000,0.3223,0.3151
52.080,9.17,0.0000,-1.30,0.0555,0.0000,0.3223,0.3162
52.198,8.85,0.0000,-1.49,0.0640,0.0000,0.3201,0.3164
52.315,9.82,0.0000,-1.91,0.0817,0.0000,0.3080,0.3155
52.417,11.45,0.0000,-2.64,0.1131,0.0000,0.2878,0.3130
52.519,10.92,0.0000,-3.12,0.1336,0.0000,0.2814,0.3088
52.622,10.29,0.0000,-4.86,0.2081,0.0000,0.2462,0.3053
52.754,9.45,0.0000,-5.29,0.2269,0.0000,0.2447,0.2974
52.857,8.19,0.0000,-4.14,0.1773,0.0000,0.2666,0.2916
52.993,9.06,0.0000,-3.25,0.1391,0.0000,0.2878,0.2854
53.126,9.26,0.0000,-2.90,0.1243,0.0000,0.2965,0.2815
53.248,11.25,0.0000,-4.93,0.2111,0.0000,0.2563,0.2762
53.363,9.43,0.0000,-4.88,0.2093,0.0000,0.2565,0.2710
53.495,10.30,0.0000,-3.31,0.1419,0.0000,0.2863,0.2705
53.596,8.85,0.0000,-2.49,0.1066,0.0000,0.3031,0.2733
53.730,9.46,0.0000,-3.52,0.1510,0.0000,0.2868,0.2793
53.833,9.68,0.0000,-3.43,0.1470,0.0000,0.2901,0.2834
53.934,9.07,0.0000,-2.76,0.1182,0.0000,0.3028,0.2865
54.035,9.70,0.0000,-3.18,0.1363,0.0000,0.2952,0.2881
54.138,10.17,0.0000,-3.81,0.1631,0.0000,0.2837,0.2873
54.238,9.48,0.0000,-3.72,0.1595,0.0000,0.2830,0.2865
54.339,7.20,0.0000,-4.05,0.1738,0.0000,0.2772,0.2891
54.473,8.10,0.0000,-2.58,0.1104,0.0000,0.3042,0.2931
54.608,7.57,0.0000,-3.84,0.1647,0.0000,0.2822,0.2909
54.710,9.46,0.0000,-3.08,0.1319,0.0000,0.2963,0.2911
54.811,8.62,0.0000,-3.59,0.1541,0.0000,0.2838,0.2920
54.942,7.80,0.0000,-3.09,0.1325,0.0000,0.2944,0.2900
55.044,8.05,0.0000,-3.46,0.1484,0.0000,0.2873,0.2891
55.173,7.45,0.0000,-3.88,0.1664,0.0000,0.2776,0.2883
55.287,8.40,0.0000,-3.01,0.1289,0.0000,0.2936,0.2886
55.423,7.52,0.0000,-1.71,0.0732,0.0000,0.3168,0.2906
55.523,8.92,0.0000,-2.32,0.0995,0.0000,0.3060,0.2914
55.659,9.64,0.0000,-3.62,0.1550,0.0000,0.2815,0.2921
55.779,9.35,0.0000,-3.45,0.1477,0.0000,0.2839,0.2879
55.892,10.22,0.0000,-2.78,0.1191,0.0000,0.2889,0.2874
55.996,10.99,0.0000,-3.54,0.1518,0.0000,0.2741,0.2871
56.099,8.99,0.0000,-4.02,0.1721,0.0000,0.2666,0.2844
56.201,9.12,0.0000,-3.17,0.1359,0.0000,0.2852,0.2844
56.304,9.07,0.0000,-3.10,0.1329,0.0000,0.2884,0.2848
56.404,9.39,0.0000,-3.47,0.1486,0.0000,0.2835,0.2837
56.540,9.09,0.0000,-4.15,0.1781,0.0000,0.2645,0.2791
56.643,9.09,0.0000,-2.79,0.1194,0.0000,0.2940,0.2782
56.763,9.07,0.0000,-2.87,0.1231,0.0000,0.2966,0.2814
56.879,9.66,0.0000,-3.45,0.1479,0.0000,0.2882,0.2826
57.014,8.03,0.0000,-3.52,0.1509,0.0000,0.2883,0.2825
57.144,8.01,0.0000,-3.12,0.1336,0.0000,0.2964,0.2861
57.247,10.25,0.0000,-4.06,0.1741,0.0000,0.2718,0.2864
57.369,8.99,0.0000,-3.89,0.1666,0.0000,0.2759,0.2863
57.485,9.08,0.0000,-2.74,0.1176,0.0000,0.2986,0.2873
